date,diesel_driving,unleaded_100,unleaded_95,autogas
14-03-17,1.292,1.727,1.533,0.859
15-03-17,1.29,1.726,1.53,0.858
16-03-17,1.288,1.723,1.527,0.857
17-03-17,1.286,1.716,1.525,0.857
18-03-17,1.286,1.716,1.525,0.857
19-03-17,1.284,1.716,1.522,0.856
20-03-17,1.283,1.721,1.52,0.855
21-03-17,1.281,1.72,1.519,0.853
22-03-17,1.28,1.719,1.518,0.853
23-03-17,1.279,1.718,1.517,0.852
24-03-17,1.277,1.711,1.516,0.851
25-03-17,1.277,1.711,1.516,0.851
26-03-17,1.276,1.711,1.515,0.85
27-03-17,1.275,1.717,1.514,0.849
28-03-17,1.274,1.717,1.513,0.848
29-03-17,1.273,1.716,1.512,0.847
30-03-17,1.272,1.716,1.512,0.846
31-03-17,1.272,1.71,1.512,0.844
01-04-17,1.272,1.71,1.512,0.844
02-04-17,1.271,1.711,1.512,0.843
03-04-17,1.271,1.716,1.512,0.842
04-04-17,1.271,1.717,1.514,0.842
05-04-17,1.272,1.718,1.516,0.841
06-04-17,1.273,1.718,1.519,0.841
07-04-17,1.274,1.714,1.523,0.841
08-04-17,1.274,1.714,1.523,0.841
09-04-17,1.274,1.714,1.523,0.841
10-04-17,1.277,1.721,1.528,0.841
11-04-17,1.279,1.725,1.533,0.841
12-04-17,1.282,1.727,1.537,0.84
13-04-17,1.285,1.728,1.542,0.84
14-04-17,1.286,1.724,1.544,0.84
15-04-17,1.286,1.724,1.544,0.84
16-04-17,1.287,1.725,1.546,0.84
17-04-17,1.288,1.728,1.547,0.84
18-04-17,1.289,1.732,1.549,0.84
19-04-17,1.289,1.733,1.55,0.84
20-04-17,1.29,1.733,1.551,0.839
21-04-17,1.291,1.727,1.551,0.839
22-04-17,1.291,1.727,1.551,0.839
23-04-17,1.291,1.729,1.551,0.839
24-04-17,1.291,1.734,1.551,0.838
25-04-17,1.291,1.735,1.55,0.837
26-04-17,1.29,1.734,1.548,0.835
27-04-17,1.289,1.733,1.546,0.833
28-04-17,1.287,1.725,1.543,0.833
29-04-17,1.287,1.725,1.543,0.833
30-04-17,1.284,1.722,1.539,0.831
01-05-17,1.283,1.724,1.539,0.83
02-05-17,1.282,1.729,1.536,0.83
03-05-17,1.279,1.727,1.532,0.827
04-05-17,1.277,1.724,1.528,0.827
05-05-17,1.274,1.716,1.524,0.824
06-05-17,1.274,1.716,1.524,0.824
07-05-17,1.271,1.715,1.52,0.821
08-05-17,1.268,1.72,1.517,0.817
09-05-17,1.265,1.718,1.513,0.815
10-05-17,1.262,1.716,1.51,0.813
11-05-17,1.261,1.713,1.508,0.812
12-05-17,1.259,1.705,1.506,0.81
13-05-17,1.259,1.705,1.506,0.81
14-05-17,1.258,1.705,1.504,0.808
15-05-17,1.257,1.709,1.504,0.806
16-05-17,1.256,1.711,1.503,0.805
17-05-17,1.256,1.711,1.503,0.804
18-05-17,1.255,1.71,1.503,0.803
19-05-17,1.255,1.704,1.503,0.802
20-05-17,1.255,1.704,1.503,0.802
21-05-17,1.255,1.704,1.502,0.801
22-05-17,1.255,1.711,1.502,0.8
23-05-17,1.255,1.711,1.503,0.799
24-05-17,1.254,1.711,1.502,0.798
25-05-17,1.256,1.711,1.503,0.797
26-05-17,1.257,1.706,1.504,0.798
27-05-17,1.257,1.706,1.504,0.798
28-05-17,1.257,1.707,1.504,0.797
29-05-17,1.257,1.713,1.504,0.796
30-05-17,1.257,1.713,1.504,0.796
31-05-17,1.257,1.713,1.504,0.796
01-06-17,1.257,1.712,1.503,0.795
02-06-17,1.257,1.705,1.503,0.795
03-06-17,1.257,1.705,1.503,0.795
04-06-17,1.257,1.705,1.503,0.795
05-06-17,1.256,1.711,1.501,0.792
06-06-17,1.254,1.711,1.5,0.791
07-06-17,1.252,1.709,1.497,0.789
08-06-17,1.25,1.706,1.494,0.788
09-06-17,1.247,1.697,1.491,0.785
10-06-17,1.247,1.697,1.491,0.785
11-06-17,1.244,1.697,1.488,0.784
12-06-17,1.242,1.702,1.486,0.782
13-06-17,1.24,1.7,1.484,0.78
14-06-17,1.238,1.699,1.482,0.779
15-06-17,1.236,1.696,1.48,0.778
16-06-17,1.234,1.689,1.478,0.777
17-06-17,1.234,1.689,1.478,0.777
18-06-17,1.233,1.688,1.475,0.776
19-06-17,1.231,1.692,1.473,0.776
20-06-17,1.229,1.691,1.471,0.775
21-06-17,1.227,1.69,1.469,0.775
22-06-17,1.227,1.688,1.467,0.774
23-06-17,1.225,1.681,1.466,0.771
24-06-17,1.225,1.681,1.466,0.771
25-06-17,1.224,1.682,1.464,0.771
26-06-17,1.223,1.687,1.463,0.77
27-06-17,1.222,1.686,1.462,0.769
28-06-17,1.221,1.686,1.461,0.769
29-06-17,1.221,1.684,1.46,0.769
30-06-17,1.221,1.679,1.46,0.768
01-07-17,1.221,1.679,1.46,0.768
02-07-17,1.22,1.68,1.459,0.767
03-07-17,1.215,1.682,1.463,0.77
04-07-17,1.214,1.682,1.463,0.769
05-07-17,1.215,1.682,1.465,0.769
06-07-17,1.216,1.682,1.466,0.768
07-07-17,1.217,1.675,1.467,0.767
08-07-17,1.217,1.675,1.467,0.767
09-07-17,1.217,1.676,1.467,0.766
10-07-17,1.218,1.683,1.467,0.765
11-07-17,1.218,1.684,1.467,0.765
12-07-17,1.217,1.683,1.467,0.765
13-07-17,1.218,1.683,1.467,0.764
14-07-17,1.218,1.675,1.467,0.767
15-07-17,1.218,1.675,1.467,0.767
16-07-17,1.218,1.676,1.466,0.766
17-07-17,1.218,1.679,1.466,0.766
18-07-17,1.218,1.683,1.467,0.765
19-07-17,1.219,1.683,1.467,0.758
20-07-17,1.219,1.683,1.468,0.758
21-07-17,1.22,1.678,1.469,0.758
22-07-17,1.22,1.678,1.469,0.758
23-07-17,1.22,1.678,1.469,0.759
24-07-17,1.221,1.685,1.47,0.76
25-07-17,1.221,1.687,1.47,0.76
26-07-17,1.22,1.687,1.47,0.76
27-07-17,1.22,1.686,1.47,0.76
28-07-17,1.221,1.679,1.47,0.764
29-07-17,1.221,1.679,1.47,0.764
30-07-17,1.221,1.68,1.471,0.764
31-07-17,1.223,1.686,1.472,0.765
01-08-17,1.224,1.687,1.474,0.765
02-08-17,1.226,1.687,1.476,0.77
03-08-17,1.228,1.687,1.477,0.771
04-08-17,1.228,1.682,1.48,0.77
05-08-17,1.228,1.682,1.48,0.77
06-08-17,1.23,1.683,1.482,0.772
07-08-17,1.234,1.691,1.483,0.774
08-08-17,1.234,1.691,1.484,0.777
09-08-17,1.235,1.692,1.485,0.776
10-08-17,1.236,1.692,1.486,0.778
11-08-17,1.236,1.686,1.486,0.779
12-08-17,1.236,1.686,1.486,0.779
13-08-17,1.237,1.687,1.487,0.779
14-08-17,1.237,1.693,1.488,0.78
15-08-17,1.237,1.694,1.488,0.78
16-08-17,1.237,1.695,1.488,0.781
17-08-17,1.238,1.694,1.488,0.782
18-08-17,1.238,1.688,1.489,0.782
19-08-17,1.238,1.688,1.489,0.782
20-08-17,1.238,1.688,1.489,0.783
21-08-17,1.238,1.695,1.489,0.783
22-08-17,1.237,1.695,1.488,0.783
23-08-17,1.236,1.695,1.488,0.783
24-08-17,1.236,1.695,1.487,0.784
25-08-17,1.236,1.687,1.488,0.784
26-08-17,1.236,1.687,1.488,0.784
27-08-17,1.236,1.688,1.488,0.786
28-08-17,1.236,1.696,1.488,0.787
29-08-17,1.235,1.696,1.488,0.787
30-08-17,1.235,1.696,1.487,0.788
31-08-17,1.235,1.694,1.487,0.788
01-09-17,1.235,1.687,1.488,0.789
02-09-17,1.235,1.687,1.488,0.789
03-09-17,1.236,1.689,1.492,0.789
04-09-17,1.238,1.697,1.496,0.791
05-09-17,1.239,1.699,1.5,0.792
06-09-17,1.24,1.701,1.503,0.791
07-09-17,1.242,1.7,1.504,0.792
08-09-17,1.244,1.695,1.506,0.792
09-09-17,1.244,1.695,1.506,0.792
10-09-17,1.245,1.696,1.507,0.793
11-09-17,1.246,1.703,1.508,0.793
12-09-17,1.246,1.703,1.508,0.793
13-09-17,1.247,1.703,1.508,0.794
14-09-17,1.247,1.702,1.508,0.794
15-09-17,1.248,1.696,1.508,0.794
16-09-17,1.248,1.696,1.508,0.794
17-09-17,1.248,1.697,1.509,0.794
18-09-17,1.249,1.704,1.509,0.794
19-09-17,1.249,1.705,1.509,0.795
20-09-17,1.25,1.706,1.509,0.792
21-09-17,1.251,1.706,1.509,0.792
22-09-17,1.252,1.699,1.509,0.792
23-09-17,1.252,1.699,1.509,0.792
24-09-17,1.252,1.701,1.508,0.791
25-09-17,1.253,1.708,1.507,0.798
26-09-17,1.254,1.706,1.507,0.798
27-09-17,1.255,1.706,1.507,0.799
28-09-17,1.258,1.705,1.507,0.801
29-09-17,1.261,1.697,1.508,0.804
30-09-17,1.261,1.697,1.508,0.804
