,date,prefecture,unleaded_95,unleaded_100,diesel_driving,autogas,prefecture_eng
0,02-04-2026,ΝΟΜΟΣ ΑΙΤΩΛΙΑΣ ΚΑΙ ΑΚΑΡΝΑΝΙΑΣ,2.065,2.268,2.094,1.429,ETOLOAKARNANIAS
1,02-04-2026,ΝΟΜΟΣ ΑΡΓΟΛΙΔΟΣ,2.063,2.256,2.075,1.408,ARGOLIDAS
2,02-04-2026,ΝΟΜΟΣ ΑΡΚΑΔΙΑΣ,2.054,2.255,2.095,1.398,ARKADIAS
3,02-04-2026,ΝΟΜΟΣ ΑΡΤΗΣ,2.054,2.278,2.052,1.367,ARTAS
4,02-04-2026,ΝΟΜΟΣ ΑΧΑΪΑΣ,2.051,2.284,2.074,1.418,ACHAIAS
5,02-04-2026,ΝΟΜΟΣ ΒΟΙΩΤΙΑΣ,2.048,2.269,2.068,1.406,VIOTIAS
6,02-04-2026,ΝΟΜΟΣ ΓΡΕΒΕΝΩΝ,2.059,2.285,2.084,1.381,GREVENON
7,02-04-2026,ΝΟΜΟΣ ΔΡΑΜΑΣ,2.053,2.256,2.057,1.352,DRAMAS
8,02-04-2026,ΝΟΜΟΣ ΔΩΔΕΚΑΝΗΣΟΥ,2.134,2.338,2.169,1.463,DODEKANISON
9,02-04-2026,ΝΟΜΟΣ ΕΒΡΟΥ,2.05,2.267,2.077,1.353,EVROU
10,02-04-2026,ΝΟΜΟΣ ΕΥΒΟΙΑΣ,2.063,2.261,2.076,1.434,EVVIAS
11,02-04-2026,ΝΟΜΟΣ ΕΥΡΥΤΑΝΙΑΣ,2.062,2.357,2.089,1.447,EVRYTANIAS
12,02-04-2026,ΝΟΜΟΣ ΖΑΚΥΝΘΟΥ,2.085,2.245,2.138,1.354,ZAKYNTHOU
13,02-04-2026,ΝΟΜΟΣ ΗΛΕΙΑΣ,2.056,2.233,2.081,1.327,ILIAS
14,02-04-2026,ΝΟΜΟΣ ΗΜΑΘΙΑΣ,2.044,2.245,2.057,1.354,IMATHIAS
15,02-04-2026,ΝΟΜΟΣ ΗΡΑΚΛΕΙΟΥ,2.114,2.28,2.131,1.461,IRAKLIOU
16,02-04-2026,ΝΟΜΟΣ ΘΕΣΠΡΩΤΙΑΣ,2.045,2.225,2.089,1.432,THESPROTIAS
17,02-04-2026,ΝΟΜΟΣ ΘΕΣΣΑΛΟΝΙΚΗΣ,2.058,2.27,2.058,1.367,THESSALONIKIS
18,02-04-2026,ΝΟΜΟΣ ΙΩΑΝΝΙΝΩΝ,2.05,2.297,2.077,1.355,IOANNINON
19,02-04-2026,ΝΟΜΟΣ ΚΑΒΑΛΑΣ,2.05,2.239,2.06,1.389,KAVALAS
20,02-04-2026,ΝΟΜΟΣ ΚΑΡΔΙΤΣΗΣ,2.055,2.247,2.09,1.369,KARDITSAS
21,02-04-2026,ΝΟΜΟΣ ΚΑΣΤΟΡΙΑΣ,2.045,2.251,2.09,1.368,KASTORIAS
22,02-04-2026,ΝΟΜΟΣ ΚΕΡΚΥΡΑΣ,2.094,2.278,2.14,1.487,KERKYRAS
23,02-04-2026,ΝΟΜΟΣ ΚΕΦΑΛΛΗΝΙΑΣ,2.088,2.287,2.166,1.369,KEFALLONIAS
24,02-04-2026,ΝΟΜΟΣ ΚΙΛΚΙΣ,2.054,2.231,2.085,1.38,KILKIS
25,02-04-2026,ΝΟΜΟΣ ΚΟΖΑΝΗΣ,2.046,2.246,2.083,1.342,KOZANIS
26,02-04-2026,ΝΟΜΟΣ ΚΟΡΙΝΘΙΑΣ,2.045,2.237,2.082,1.392,KORINTHOU
27,02-04-2026,ΝΟΜΟΣ ΚΥΚΛΑΔΩΝ,2.179,2.386,2.222,1.476,KYKLADON
28,02-04-2026,ΝΟΜΟΣ ΛΑΚΩΝΙΑΣ,2.054,2.242,2.075,1.367,LAKONIAS
29,02-04-2026,ΝΟΜΟΣ ΛΑΡΙΣΗΣ,2.047,2.258,2.073,1.359,LARISAS
30,02-04-2026,ΝΟΜΟΣ ΛΑΣΙΘΙΟΥ,2.095,2.301,2.145,1.432,LASITHIOU
31,02-04-2026,ΝΟΜΟΣ ΛΕΣΒΟΥ,2.053,2.225,2.084,1.315,LESVOU
32,02-04-2026,ΝΟΜΟΣ ΛΕΥΚΑΔΟΣ,2.094,2.265,2.097,1.279,LEFKADAS
33,02-04-2026,ΝΟΜΟΣ ΜΑΓΝΗΣΙΑΣ,2.07,2.268,2.088,1.352,MAGNISIAS
34,02-04-2026,ΝΟΜΟΣ ΜΕΣΣΗΝΙΑΣ,2.055,2.26,2.09,1.384,MESSINIAS
35,02-04-2026,ΝΟΜΟΣ ΞΑΝΘΗΣ,2.033,2.25,2.057,1.34,XANTHIS
36,02-04-2026,ΝΟΜΟΣ ΠΕΛΛΗΣ,2.044,2.239,2.089,1.354,PELLAS
37,02-04-2026,ΝΟΜΟΣ ΠΙΕΡΙΑΣ,2.035,2.248,2.052,1.392,PIERIAS
